Row Labels,Sum of total_sales,,,,
Accessories,516978.25,,Row Labels,Sum of total_sales,Average of Total Sales
Clothing,745641.96,,Accessories,516978.25,7833.003788
Shoes,2174168.08,,Adidas,196497.7,9824.885
Grand Total,3436788.29,,Hyderabad,43553.88,8710.776
,,,Mumbai,59512.23,11902.446
,,,Pune,47484.09,7914.015
Row Labels,Avg Total Sales,,Warangal,45947.5,11486.875
Accessories,7833.003788,,Nike,120130.94,5720.520952
Clothing,12427.366,,Hyderabad,16182.04,5394.013333
Shoes,29380.64973,,Mumbai,12869.66,4289.886667
Grand Total,17183.94145,,Pune,31494.54,4499.22
,,,Warangal,59584.7,7448.0875
,,,Puma,200349.61,8013.9844
Row Labels,Average of total_sales,,Hyderabad,20838.69,10419.345
Adidas,19512.63984,,Mumbai,39408.63,4926.07875
Nike,17771.50014,,Pune,82778.57,11825.51
Puma,14329.02227,,Warangal,57323.72,7165.465
Grand Total,17183.94145,,Clothing,745641.96,12427.366
,,,Adidas,285027.02,12955.77364
,,,Hyderabad,59042.43,11808.486
,,,Mumbai,127687.91,15960.98875
,,,Pune,26319.6,6579.9
,,,Warangal,71977.08,14395.416
,,,Nike,264813.32,12610.1581
,,,Hyderabad,45282.7,15094.23333
,,,Mumbai,102550.18,14650.02571
,,,Pune,102617.76,12827.22
,,,Warangal,14362.68,4787.56
,,,Puma,195801.62,11517.74235
,,,Hyderabad,51426.51,12856.6275
,,,Mumbai,72380.28,12063.38
,,,Pune,42592.31,10648.0775
,,,Warangal,29402.52,9800.84
,,,Shoes,2174168.08,29380.64973
,,,Adidas,747771.59,35608.17095
,,,Hyderabad,377767.57,47220.94625
,,,Mumbai,90080.54,22520.135
,,,Pune,144520.25,28904.05
,,,Warangal,135403.23,33850.8075
,,,Nike,876832.25,30235.59483
,,,Hyderabad,146861.5,29372.3
,,,Mumbai,253545.86,36220.83714
,,,Pune,285173.88,35646.735
,,,Warangal,191251.01,21250.11222
,,,Puma,549564.24,22898.51
,,,Hyderabad,95497.01,19099.402
,,,Mumbai,228747.6,32678.22857
,,,Pune,79225.05,15845.01
,,,Warangal,146094.58,20870.65429
,,,Grand Total,3436788.29,17183.94145
